test,spec,term,estimate,std_error,p_value,df,ci_low,ci_high,n_obs,n_firms,treated_firms,control_firms,error,draw
R2,draw_26,pseudo,0.005966434916451517,0.008381770869955195,0.47702948217744656,359,-0.01051710486416471,0.02244997469706774,3240,360,151,209,,26
R2,draw_27,pseudo,-0.013287562482694061,0.008200055125995637,0.10601932239695265,359,-0.029413741182842377,0.0028386162174542547,3240,360,151,209,,27
R2,draw_28,pseudo,-0.0037488720858278586,0.008192767745283748,0.6475287888937266,359,-0.019860719467245967,0.012362975295590248,3240,360,151,209,,28
R2,draw_29,pseudo,-0.008733582134343634,0.008130990754718985,0.28349458996287574,359,-0.024723939260623513,0.0072567749919362455,3240,360,151,209,,29
R2,draw_30,pseudo,0.013670330320941185,0.008236603480017318,0.09784707900723341,359,-0.002527724150661579,0.02986838479254395,3240,360,151,209,,30
R2,draw_31,pseudo,0.0181261830286571,0.00809757458925649,0.02580278287326943,359,0.0022015419307992237,0.03405082412651498,3240,360,151,209,,31
R2,draw_32,pseudo,-0.005686929271250007,0.008126006895815743,0.4844785761110158,359,-0.021667485170824077,0.010293626628324065,3240,360,151,209,,32
R2,draw_33,pseudo,-0.007017167880639599,0.00831810911723875,0.399453968442039,359,-0.02337551084429597,0.009341175083016769,3240,360,151,209,,33
R2,draw_34,pseudo,-0.0026171683365391785,0.008427607386632705,0.7563252265816659,359,-0.01919084993298181,0.013956513259903453,3240,360,151,209,,34
R2,draw_35,pseudo,0.011951662104232624,0.00833084616244496,0.15226376735043937,359,-0.004431729455311353,0.028335053663776602,3240,360,151,209,,35
R2,draw_36,pseudo,0.006582860472532201,0.00825354656213875,0.4256417028523783,359,-0.009648514161657677,0.022814235106722078,3240,360,151,209,,36
R2,draw_37,pseudo,-0.01241492309889158,0.008260139682410364,0.13372026040194646,359,-0.028659263723438595,0.003829417525655434,3240,360,151,209,,37
R2,draw_38,pseudo,-0.004698701472394332,0.008231256727229234,0.5684676401361916,359,-0.020886241052377304,0.01148883810758864,3240,360,151,209,,38
R2,draw_39,pseudo,0.016542773597769726,0.008110870392216482,0.042123840100170167,359,0.0005919850544129669,0.03249356214112649,3240,360,151,209,,39
R2,draw_40,pseudo,0.007040006080719102,0.00832518000370491,0.3983235047075938,359,-0.009332242445396259,0.023412254606834465,3240,360,151,209,,40
R2,draw_41,pseudo,0.0065951303809333025,0.008287089764067933,0.42665564719415655,359,-0.009702210110823842,0.02289247087269045,3240,360,151,209,,41
R2,draw_42,pseudo,0.009612613308041022,0.008436162521560802,0.25527383137218007,359,-0.006977892764887993,0.026203119380970037,3240,360,151,209,,42
R2,draw_43,pseudo,0.01853940363449985,0.008401916797287202,0.02797676914052692,359,0.0020162449953217802,0.03506256227367792,3240,360,151,209,,43
R2,draw_44,pseudo,0.003955751077818342,0.008307807678837853,0.6342581476942639,359,-0.012382333139528526,0.02029383529516521,3240,360,151,209,,44
R2,draw_45,pseudo,0.0023033768389454164,0.008292197424037202,0.7813438990079634,359,-0.014004008345943477,0.01861076202383431,3240,360,151,209,,45
R2,draw_46,pseudo,-0.0051680128780081285,0.008323319388179472,0.5350543755279127,359,-0.021536602328910647,0.011200576572894392,3240,360,151,209,,46
R2,draw_47,pseudo,-0.010827705927366071,0.0082394927209836,0.18964389442202412,359,-0.027031442362737877,0.005376030508005733,3240,360,151,209,,47
R2,draw_48,pseudo,0.003330536474613441,0.008137640267811145,0.6825815906699115,359,-0.012672897543802589,0.01933397049302947,3240,360,151,209,,48
R2,draw_49,pseudo,-0.013861246959014738,0.008188223208865746,0.09135591411375102,359,-0.029964157082663236,0.0022416631646337577,3240,360,151,209,,49
R2,draw_50,pseudo,-0.007715655189024618,0.008128348372423554,0.34314325952792607,359,-0.023700815822301036,0.008269505444251802,3240,360,151,209,,50
R2,draw_51,pseudo,-0.009230411838220137,0.008229960687455367,0.2627983039945062,359,-0.025415402634240712,0.006954578957800439,3240,360,151,209,,51
R2,draw_52,pseudo,0.004677652196139759,0.008175533008530113,0.5675767152127636,359,-0.011400301456459618,0.020755605848739134,3240,360,151,209,,52
R2,draw_53,pseudo,-0.009724625106754127,0.00832050753600344,0.2432783135498338,359,-0.026087684786213365,0.006638434572705111,3240,360,151,209,,53
R2,draw_54,pseudo,-0.013186071558830044,0.008229791092995474,0.1099827994837288,359,-0.029370728831413916,0.00299858571375383,3240,360,151,209,,54
R2,draw_55,pseudo,-0.0059070493991722995,0.008152709986668368,0.46919982543414473,359,-0.02194011943533682,0.010126020636992219,3240,360,151,209,,55
R2,draw_56,pseudo,0.0016098735813856403,0.008225508689431048,0.8449422462911889,359,-0.014566361942309354,0.017786109105080633,3240,360,151,209,,56
R2,draw_57,pseudo,-0.0029037634562029953,0.008406366587896407,0.7299777061231956,359,-0.01943567302661747,0.013628146114211478,3240,360,151,209,,57
R2,draw_58,pseudo,-0.0009305594077315554,0.008337809835871549,0.9111972550692832,359,-0.017327645685220862,0.015466526869757751,3240,360,151,209,,58
R2,draw_59,pseudo,-0.0040518288249649405,0.008123297471454845,0.6182320082160276,359,-0.02002705638701603,0.011923398737086147,3240,360,151,209,,59
R2,draw_60,pseudo,0.006525464425160519,0.00830846224717051,0.43273723104788114,359,-0.00981390706230121,0.02286483591262225,3240,360,151,209,,60
R2,draw_61,pseudo,-0.00483510022908993,0.008372351373261746,0.5639583167297241,359,-0.021300115684611994,0.011629915226432135,3240,360,151,209,,61
R2,draw_62,pseudo,-0.009116306379504871,0.008258944769301942,0.2704148495246748,359,-0.0253582970951767,0.007125684336166961,3240,360,151,209,,62
R2,draw_63,pseudo,-0.004497275728284139,0.008330329400281623,0.5896229886109863,359,-0.020879651026490434,0.011885099569922154,3240,360,151,209,,63
R2,draw_64,pseudo,-0.007002134978884518,0.008279093478630137,0.39824940021756466,359,-0.023283750024175032,0.009279480066405995,3240,360,151,209,,64
R2,draw_65,pseudo,0.0033577726243333135,0.008163251121723617,0.6810775827389501,359,-0.012696027544128054,0.01941157279279468,3240,360,151,209,,65
R2,draw_66,pseudo,0.0054177622175874945,0.008301652009364988,0.514423763933412,359,-0.010908216297491133,0.02174374073266612,3240,360,151,209,,66
R2,draw_67,pseudo,0.0014613746866477479,0.008079456515636217,0.8565674691134122,359,-0.014427635517464461,0.017350384890759955,3240,360,151,209,,67
R2,draw_68,pseudo,-0.004595107863685143,0.008292835394880111,0.5798514496685664,359,-0.020903747678166173,0.01171353195079589,3240,360,151,209,,68
R2,draw_69,pseudo,0.005474331361037049,0.008258066794362112,0.5078154258341849,359,-0.010765932734440598,0.021714595456514697,3240,360,151,209,,69
R2,draw_70,pseudo,0.0042486626816442665,0.00824220973094272,0.6065375980389454,359,-0.011960417009042,0.020457742372330532,3240,360,151,209,,70
R2,draw_71,pseudo,0.003777280414941219,0.008165682580346759,0.6439457823780823,359,-0.012281301445308352,0.01983586227519079,3240,360,151,209,,71
R2,draw_72,pseudo,-0.0029930422213417583,0.00827050657648236,0.7176445653082676,359,-0.019257770316924244,0.013271685874240727,3240,360,151,209,,72
R2,draw_73,pseudo,-0.0015785148386457289,0.008368779621215287,0.8504976455330784,359,-0.018036506108246014,0.014879476430954556,3240,360,151,209,,73
R2,draw_74,pseudo,-0.006883975690095203,0.008134456710099094,0.3979638868399192,359,-0.02288114894321418,0.009113197563023773,3240,360,151,209,,74
R2,draw_75,pseudo,0.00038555639805639715,0.008360321173162195,0.9632423083464847,359,-0.016055800538879752,0.016826913334992543,3240,360,151,209,,75
R2,draw_76,pseudo,0.005585697744063216,0.00830172743476677,0.5014847457551365,359,-0.010740429102153311,0.021911824590279745,3240,360,151,209,,76
R2,draw_77,pseudo,-0.011248561522530265,0.008177998422298858,0.16984454038320876,359,-0.027331363642901348,0.004834240597840817,3240,360,151,209,,77
R2,draw_78,pseudo,-0.0019361437995563278,0.008259894091312074,0.8148057699465758,359,-0.018180001446138277,0.01430771384702562,3240,360,151,209,,78
R2,draw_79,pseudo,-0.015127841983505821,0.008187514413971586,0.06547224999165006,359,-0.031229358195412345,0.0009736742284007019,3240,360,151,209,,79
R2,draw_80,pseudo,-0.00439843205671695,0.008354926008674908,0.59890223468348,359,-0.02082917889587914,0.012032314782445238,3240,360,151,209,,80
R2,draw_81,pseudo,0.007498263538778879,0.008253209882247257,0.3642093755244959,359,-0.008732448982777424,0.02372897606033518,3240,360,151,209,,81
R2,draw_82,pseudo,-0.0105977075703491,0.008273156986033451,0.20102931108292518,359,-0.026867647945287364,0.005672232804589165,3240,360,151,209,,82
R2,draw_83,pseudo,-0.006771147224893552,0.008322776125523236,0.41643153400370003,359,-0.023138668298749707,0.009596373848962602,3240,360,151,209,,83
R2,draw_84,pseudo,0.007701194150283198,0.008203882011445746,0.348502772271361,359,-0.00843251047959184,0.023834898780158233,3240,360,151,209,,84
R2,draw_85,pseudo,0.001701055016047669,0.008440912837479565,0.8404022155235807,359,-0.01489879299936967,0.018300903031465008,3240,360,151,209,,85
R2,draw_86,pseudo,0.0047551800170007414,0.008350855166832713,0.5694243239322863,359,-0.01166756112927297,0.021177921163274455,3240,360,151,209,,86
R2,draw_87,pseudo,-0.0032082844816593396,0.008244039836482362,0.6973854763349643,359,-0.019420963246805343,0.013004394283486664,3240,360,151,209,,87
R2,draw_88,pseudo,0.00022113416300418068,0.008484381151939386,0.9792210310265923,359,-0.016464198376114843,0.016906466702123205,3240,360,151,209,,88
R2,draw_89,pseudo,-0.006104005619132808,0.008372764026105648,0.46645795261200435,359,-0.022569832595236095,0.010361821356970476,3240,360,151,209,,89
R2,draw_90,pseudo,0.00812999545383934,0.0083100299886409,0.3285673347793154,359,-0.008212459144494045,0.024472450052172724,3240,360,151,209,,90
R2,draw_91,pseudo,0.004462155144485097,0.008240538105951871,0.5885069212744918,359,-0.011743637138627944,0.020667947427598136,3240,360,151,209,,91
R2,draw_92,pseudo,0.0036160677471314324,0.008398453327450288,0.6670441351599213,359,-0.012900279653261721,0.020132415147524587,3240,360,151,209,,92
R2,draw_93,pseudo,-0.006309187624155522,0.008308351640383954,0.44812421224885834,359,-0.022648341592981337,0.01002996634467029,3240,360,151,209,,93
R2,draw_94,pseudo,0.011499814509902409,0.008249803983804661,0.16419488972566032,359,-0.00472419999242403,0.02772382901222885,3240,360,151,209,,94
R2,draw_95,pseudo,0.008460769750890018,0.008261107049018503,0.3064450698620424,359,-0.007785473290964158,0.024707012792744197,3240,360,151,209,,95
R2,draw_96,pseudo,-0.014303645437000292,0.008179083900742309,0.08117890846192193,359,-0.030388582252697846,0.0017812913786972601,3240,360,151,209,,96
R2,draw_97,pseudo,0.02091013996137009,0.008123334394360665,0.010450888922058955,359,0.00493483978695625,0.03688544013578393,3240,360,151,209,,97
R2,draw_98,pseudo,-0.00013328088915338273,0.008253871232425075,0.9871255437797721,359,-0.016365294017960122,0.016098732239653357,3240,360,151,209,,98
R2,draw_99,pseudo,-0.00989430160113587,0.008162095880869758,0.22622321076931187,359,-0.025945829879937377,0.006157226677665635,3240,360,151,209,,99
R2,draw_100,pseudo,-0.004990373851489183,0.00819276929207614,0.5428306327467818,359,-0.021102224274819833,0.011121476571841465,3240,360,151,209,,100
R2,draw_101,pseudo,-0.0031003880101366163,0.008305052386798874,0.7091354826978808,359,-0.01943305368686285,0.013232277666589617,3240,360,151,209,,101
R2,draw_102,pseudo,0.0034286310588191927,0.00828939022610457,0.6794017387559403,359,-0.012873233507633272,0.019730495625271658,3240,360,151,209,,102
R2,draw_103,pseudo,0.004051828073676071,0.008418201469467621,0.6305840664864062,359,-0.012503355903090556,0.0206070120504427,3240,360,151,209,,103
R2,draw_104,pseudo,-0.006148569007146842,0.008383409673314999,0.46378033176748673,359,-0.022635331648515652,0.010338193634221969,3240,360,151,209,,104
R2,draw_105,pseudo,0.011144902845715992,0.008220055623224736,0.1760091871868838,359,-0.005020608711035421,0.027310414402467405,3240,360,151,209,,105
R2,draw_106,pseudo,0.01911369332868705,0.008161943573404145,0.019736779798011105,359,0.0030624645768240963,0.035164922080550005,3240,360,151,209,,106
R2,draw_107,pseudo,0.01284512893126311,0.008313101161728665,0.12318691839112596,359,-0.003503365417446511,0.029193623279972734,3240,360,151,209,,107
R2,draw_108,pseudo,-0.0028250245696037025,0.008371333555343623,0.7359642911564337,359,-0.019288038390578233,0.013637989251370827,3240,360,151,209,,108
R2,draw_109,pseudo,0.004743992882602534,0.008339426274377866,0.5698046654860687,359,-0.011656272273054071,0.02114425803825914,3240,360,151,209,,109
R2,draw_110,pseudo,0.0037422932531660244,0.0083680810289683,0.6549928124857689,359,-0.012714324169156365,0.020198910675488412,3240,360,151,209,,110
R2,draw_111,pseudo,0.0010634099408347944,0.008338408204416104,0.8985911253760581,359,-0.015334853084606784,0.017461672966276372,3240,360,151,209,,111
R2,draw_112,pseudo,-0.008702788527763001,0.008248557935666886,0.29210380334981645,359,-0.024924352559375522,0.007518775503849521,3240,360,151,209,,112
R2,draw_113,pseudo,0.011478847959133577,0.008256998712558276,0.16533062309832078,359,-0.004759315653143607,0.02771701157141076,3240,360,151,209,,113
R2,draw_114,pseudo,0.003798811516946787,0.00835367698765133,0.6495659493308509,359,-0.012629479005042285,0.02022710203893586,3240,360,151,209,,114
R2,draw_115,pseudo,0.0022258730818734917,0.008315248820909095,0.789094994603287,359,-0.014126844840360754,0.018578591004107737,3240,360,151,209,,115
R2,draw_116,pseudo,0.008218140515474669,0.008312284926408451,0.32348851260768824,359,-0.008128748629802427,0.024565029660751764,3240,360,151,209,,116
R2,draw_117,pseudo,-0.0024524493431216004,0.008192022644388711,0.7648306609108516,359,-0.018562831413636502,0.013657932727393303,3240,360,151,209,,117
R2,draw_118,pseudo,0.012573632196085248,0.008275607038351354,0.12955189978323706,359,-0.00370112643688862,0.028848390829059115,3240,360,151,209,,118
R2,draw_119,pseudo,-0.004537575121917366,0.008376491659168829,0.5883587866747924,359,-0.021010732838604926,0.011935582594770192,3240,360,151,209,,119
R2,draw_120,pseudo,-0.0023323181147616033,0.008377123310245038,0.780853975354018,359,-0.01880671803262642,0.014142081803103213,3240,360,151,209,,120
R2,draw_121,pseudo,-0.0015966264125119292,0.008317173993732057,0.8478762632600993,359,-0.017953130367948968,0.01475987754292511,3240,360,151,209,,121
R2,draw_122,pseudo,0.010618552120580894,0.008384269291914541,0.2061605700233793,359,-0.005869901041514572,0.027107005282676358,3240,360,151,209,,122
R2,draw_123,pseudo,0.005045155207326781,0.008425341522341439,0.5496791038584492,359,-0.011524070354136842,0.021614380768790402,3240,360,151,209,,123
R2,draw_124,pseudo,0.009133999506985012,0.008400002547075574,0.2775981636448704,359,-0.007385394579331501,0.025653393593301523,3240,360,151,209,,124
R2,draw_125,pseudo,-0.004727104966934732,0.008272906366615521,0.5680888365837952,359,-0.020996552475245008,0.011542342541375542,3240,360,151,209,,125
R2,draw_126,pseudo,-0.0038720651513232487,0.008217915655326674,0.63780293449285,359,-0.020033368260179315,0.012289237957532817,3240,360,151,209,,126
R2,draw_127,pseudo,-0.002274824095852134,0.008239519364804012,0.7826401159944134,359,-0.01847861292879964,0.013928964737095373,3240,360,151,209,,127
R2,draw_128,pseudo,0.004890233560584235,0.008252801265491421,0.5538524576296865,359,-0.011339675377737168,0.02112014249890564,3240,360,151,209,,128
R2,draw_129,pseudo,0.0022653139597117126,0.008277852539896786,0.784503589645762,359,-0.014013860662988651,0.018544488582412075,3240,360,151,209,,129
R2,draw_130,pseudo,-0.0006251648259792065,0.008355657480905256,0.9404001223984587,359,-0.01705735017399524,0.01580702052203683,3240,360,151,209,,130
R2,draw_131,pseudo,0.0028265442794242757,0.00823823772765066,0.7317236040360235,359,-0.013374724093667027,0.019027812652515578,3240,360,151,209,,131
R2,draw_132,pseudo,0.0035476854871972323,0.00836723618301697,0.6718217295855677,359,-0.012907270466198922,0.020002641440593386,3240,360,151,209,,132
R2,draw_133,pseudo,-0.010662677378003289,0.008212650445491427,0.19500960492165426,359,-0.026813625957116283,0.005488271201109703,3240,360,151,209,,133
R2,draw_134,pseudo,0.0031099408210608164,0.008275460214945931,0.7072854959660986,359,-0.013164529069894024,0.019384410712015656,3240,360,151,209,,134
R2,draw_135,pseudo,0.002128936778129624,0.008368925215535993,0.7993430703547402,359,-0.014329340816379134,0.018587214372638383,3240,360,151,209,,135
R2,draw_136,pseudo,0.008681829549335378,0.008300985809903365,0.2963204242323906,359,-0.00764283882192068,0.025006497920591435,3240,360,151,209,,136
R2,draw_137,pseudo,-0.008161410963123186,0.008168318981599906,0.3183929283983633,359,-0.024225177554094722,0.00790235562784835,3240,360,151,209,,137
R2,draw_138,pseudo,0.008016888036959657,0.008188088551412662,0.32819408725293603,359,-0.00808575727015793,0.024119533344077244,3240,360,151,209,,138
R2,draw_139,pseudo,-0.0023283331482224774,0.008322850752377816,0.7798289838011842,359,-0.01869600098279844,0.014039334686353485,3240,360,151,209,,139
R2,draw_140,pseudo,0.0029593220630074065,0.008286759817742234,0.7212159187933322,359,-0.013337369558305832,0.019256013684320644,3240,360,151,209,,140
R2,draw_141,pseudo,-0.006724643369504297,0.008329823109327549,0.42002978220292314,359,-0.02310602299898956,0.009656736259980966,3240,360,151,209,,141
R2,draw_142,pseudo,-0.011340162091788389,0.008191546642942667,0.16710393194550346,359,-0.02744960806074513,0.004769283877168353,3240,360,151,209,,142
R2,draw_143,pseudo,-0.007944536890436848,0.008381540072960297,0.3438376947050864,359,-0.024427622787082055,0.00853854900620836,3240,360,151,209,,143
R2,draw_144,pseudo,-0.007850390399437142,0.008200421278861116,0.33905226273715433,359,-0.023977289173591005,0.008276508374716721,3240,360,151,209,,144
R2,draw_145,pseudo,-0.0030352210730477734,0.008146041024806589,0.7096654806574278,359,-0.01905517596924371,0.012984733823148163,3240,360,151,209,,145
R2,draw_146,pseudo,-0.006604081038065373,0.008258756319180598,0.42444473246703324,359,-0.022845701148870995,0.00963753907274025,3240,360,151,209,,146
R2,draw_147,pseudo,-0.013228897204216326,0.008202447180700663,0.10766689564098915,359,-0.029359780104646356,0.0029019856962137058,3240,360,151,209,,147
R2,draw_148,pseudo,0.00135519569559993,0.008321402362289817,0.8707229365856778,359,-0.01500962374380945,0.017720015135009308,3240,360,151,209,,148
R2,draw_149,pseudo,0.01779951560718694,0.008205252977618895,0.03071692258561618,359,0.0016631148435469062,0.03393591637082698,3240,360,151,209,,149
R2,draw_150,pseudo,0.008035501236553198,0.008194937916132872,0.32747774014243036,359,-0.008080613989700718,0.024151616462807113,3240,360,151,209,,150
R2,draw_151,pseudo,-0.001656147414521156,0.008361804114265138,0.8431094296853442,359,-0.01810042069444042,0.014788125865398108,3240,360,151,209,,151
R2,draw_152,pseudo,-0.0116659595885581,0.008298869192140986,0.1606695192112008,359,-0.027986465432154092,0.004654546255037891,3240,360,151,209,,152
R2,draw_153,pseudo,0.006257779219939704,0.008306817393471654,0.4517450598207304,359,-0.010078357508209339,0.022593915948088746,3240,360,151,209,,153
R2,draw_154,pseudo,-0.008506133117192012,0.00836690628764777,0.31000928342644896,359,-0.024960440300355,0.007948174065970978,3240,360,151,209,,154
R2,draw_155,pseudo,-0.009446962967302313,0.00830301219294338,0.2559730504764744,359,-0.02577561641116046,0.006881690476555834,3240,360,151,209,,155
R2,draw_156,pseudo,-0.016166284513930092,0.008195522680480915,0.049310961654243285,359,-0.03228354973420589,-4.9019293654292695e-05,3240,360,151,209,,156
R2,draw_157,pseudo,-0.0046279976488397415,0.008358380887102246,0.5801319595332768,359,-0.021065538830972855,0.011809543533293373,3240,360,151,209,,157
R2,draw_158,pseudo,0.006816844356385751,0.008329720212817913,0.41368530584305147,359,-0.009564332917447446,0.023198021630218946,3240,360,151,209,,158
R2,draw_159,pseudo,-0.0069208668252972215,0.008229235153002971,0.4009022968862355,359,-0.023104430789662074,0.009262697139067633,3240,360,151,209,,159
R2,draw_160,pseudo,-0.0019247399260055038,0.00831907903369385,0.8171634175749033,359,-0.018284990321482612,0.014435510469471606,3240,360,151,209,,160
R2,draw_161,pseudo,-0.0023942447170340214,0.008122662303295778,0.768346776096615,359,-0.018368223161234026,0.013579733727165982,3240,360,151,209,,161
R2,draw_162,pseudo,-0.0025788470259668693,0.008135198569849776,0.7514288861870989,359,-0.01857747921597421,0.013419785164040472,3240,360,151,209,,162
R2,draw_163,pseudo,0.0173274486495078,0.008142472605376126,0.034015142278792175,359,0.0013145113853312296,0.03334038591368437,3240,360,151,209,,163
R2,draw_164,pseudo,0.00495951235067146,0.008180393336929565,0.5447198256721122,359,-0.011127999594293843,0.021047024295636763,3240,360,151,209,,164
R2,draw_165,pseudo,0.01270939536931005,0.008213994114273562,0.12267542810414185,359,-0.003444195660684258,0.028862986399304357,3240,360,151,209,,165
R2,draw_166,pseudo,-0.0014019412188048734,0.008329931593474817,0.8664407532029096,359,-0.0177835341925565,0.014979651754946751,3240,360,151,209,,166
R2,draw_167,pseudo,0.01303243915945456,0.008244510430469547,0.1148177828574716,359,-0.00318116507297379,0.02924604339188291,3240,360,151,209,,167
R2,draw_168,pseudo,-0.005224836854458143,0.008387941996538256,0.5337466780607989,359,-0.02172051273520182,0.011270839026285534,3240,360,151,209,,168
R2,draw_169,pseudo,-0.004415016732068944,0.008391423371197006,0.5991196792128591,359,-0.02091753906311162,0.01208750559897373,3240,360,151,209,,169
R2,draw_170,pseudo,0.007622053689951124,0.008268232083027816,0.35722692418590474,359,-0.008638201400592162,0.02388230878049441,3240,360,151,209,,170
R2,draw_171,pseudo,-0.013131680769987652,0.008275379270653563,0.11342984661024352,359,-0.029405991476387824,0.0031426299364125197,3240,360,151,209,,171
R2,draw_172,pseudo,0.0035440750761376993,0.008382551881875162,0.672700224504065,359,-0.01294100063778566,0.02002915079006106,3240,360,151,209,,172
R2,draw_173,pseudo,0.005196236857102298,0.008418794497950235,0.5374817899335472,359,-0.011360113365883162,0.02175258708008776,3240,360,151,209,,173
R2,draw_174,pseudo,0.009617137441115519,0.008352938744465948,0.25035540838332976,359,-0.0068097012563005845,0.02604397613853162,3240,360,151,209,,174
R2,draw_175,pseudo,-0.014234058872287625,0.008110973691691264,0.08012707497852076,359,-0.03018505056376526,0.0017169328191900118,3240,360,151,209,,175
R2,draw_176,pseudo,0.008589156804716055,0.008385795780617274,0.3064065649316871,359,-0.007902298340808276,0.025080611950240386,3240,360,151,209,,176
R2,draw_177,pseudo,-0.014092243592502355,0.008336459496065946,0.09181275785168944,359,-0.030486674299916035,0.002302187114911326,3240,360,151,209,,177
R2,draw_178,pseudo,0.0101245122261714,0.008353915837745939,0.22632930318005723,359,-0.006304248016965764,0.026553272469308564,3240,360,151,209,,178
R2,draw_179,pseudo,-0.009215841111509828,0.0082644279539318,0.26554428591288787,359,-0.0254686150248344,0.007036932801814742,3240,360,151,209,,179
R2,draw_180,pseudo,0.011819101740770629,0.008174861341789075,0.14910957723695942,359,-0.004257531016087621,0.02789573449762888,3240,360,151,209,,180
R2,draw_181,pseudo,-0.0022602139580797987,0.008272760503379165,0.7848476813256711,359,-0.018529374612633716,0.014008946696474118,3240,360,151,209,,181
R2,draw_182,pseudo,0.008918745695375865,0.008308025248256884,0.2837635266757689,359,-0.007419766392671516,0.025257257783423248,3240,360,151,209,,182
R2,draw_183,pseudo,-0.006588614757609295,0.008103425924965053,0.41671947621765093,359,-0.022524763056799478,0.00934753354158089,3240,360,151,209,,183
R2,draw_184,pseudo,-0.005719159733556747,0.008230741244631133,0.4875965530407505,359,-0.02190568556858727,0.010467366101473773,3240,360,151,209,,184
R2,draw_185,pseudo,-0.00017585623024039742,0.008404189414358552,0.9833172448553089,359,-0.016703484184373858,0.01635177172389306,3240,360,151,209,,185
R2,draw_186,pseudo,-0.009753616440292942,0.008268270484116862,0.23892292036560903,359,-0.02601394705018515,0.006506714169599267,3240,360,151,209,,186
R2,draw_187,pseudo,-0.0007307267580253706,0.008307739487950992,0.9299596161512246,359,-0.017068676871587526,0.015607223355536786,3240,360,151,209,,187
R2,draw_188,pseudo,0.002685631187222635,0.008269089574134518,0.7455370949550739,359,-0.013576310240132783,0.01894757261457805,3240,360,151,209,,188
